----------------------------
2020-11-20 11:41:30.963184
Resolution: 800 x 450
FPS: 60
Codec: huj
----------------------------
[11-41-30-963184]  1: fist - if nr 1 passed
[11-41-30-971224]  2: fist - if nr 2 passed
[11-41-30-971224]  3: fist - if nr 3 passed
[11-41-30-971224]  4: fist - if nr 4 passed
[11-41-30-973303]  5: empty - if nr 1 passed
[11-41-30-973303]  6: empty - if nr 2 passed
[11-41-30-973303]  7: empty - if nr 3 passed
[11-41-30-973303]  8: empty - if nr 4 passed
[11-41-30-973303]  9: empty = if nr 5 passed
[11-41-30-973303]  10: Empty
----------------------------
2020-11-20 11:42:22.385599
Resolution: 800 x 450
FPS: 60
Codec: huj
----------------------------
[11-42-22-385599]  1: empty - if nr 1 passed
[11-42-22-395658]  2: empty - if nr 2 passed
[11-42-22-395658]  3: empty - if nr 3 passed
[11-42-22-395658]  4: empty - if nr 4 passed
[11-42-24-600528]  5: empty - if nr 1 passed
[11-42-24-600528]  6: empty - if nr 2 passed
[11-42-24-600528]  7: empty - if nr 3 passed
[11-42-24-600528]  8: empty - if nr 4 passed
[11-42-24-600528]  9: empty = if nr 5 passed
[11-42-24-600528]  10: Empty
[11-42-24-600528]  11: fist - if nr 1 passed
[11-42-24-600528]  12: fist - if nr 2 passed
[11-42-31-744772]  13: secret_gesture - if nr 1 passed
[11-42-31-744772]  14: peace - if nr 1 passed
[11-42-31-744772]  15: peace - if nr 2 passed
[11-42-31-744772]  16: peace - if nr 3 passed
[11-42-31-744772]  17: peace - if nr 4 passed
[11-42-31-744772]  18: peace - if nr 5 passed
[11-42-31-744772]  19: peace - if nr 6 passed
[11-42-31-744772]  20: Peace
[11-42-34-368740]  21: empty - if nr 1 passed
[11-42-34-368740]  22: empty - if nr 2 passed
[11-42-34-368740]  23: empty - if nr 3 passed
[11-42-34-368740]  24: empty - if nr 4 passed
[11-42-34-368740]  25: empty = if nr 5 passed
[11-42-34-368740]  26: Empty
[11-42-40-149326]  27: okay - if nr 1 passed
[11-42-40-149326]  28: okay - if nr 2 passed
[11-42-40-149326]  29: okay - if nr 3 passed
[11-42-40-149326]  30: okay - if nr 4 passed
[11-42-40-149326]  31: okay - if nr 5 passed
[11-42-40-149326]  32: okay - if nr 6 passed
[11-42-40-149326]  33: Okay
[11-42-40-149326]  34: fist - if nr 1 passed
[11-42-40-149326]  35: fist - if nr 2 passed
[11-42-43-381591]  36: empty - if nr 1 passed
[11-42-43-381591]  37: empty - if nr 2 passed
[11-42-43-381591]  38: empty - if nr 3 passed
[11-42-43-381591]  39: empty - if nr 4 passed
[11-42-43-381591]  40: empty = if nr 5 passed
[11-42-43-381591]  41: Empty
[11-42-49-99087]  42: fist - if nr 1 passed
[11-42-50-998604]  43: swipe right - if nr 1 passed
[11-42-50-998604]  44: swipe right - if nr 2 passed
[11-42-50-998604]  45: swipe right - if nr 3 passed
[11-42-50-998604]  46: swipe right - if nr 4 passed
[11-42-51-638247]  47: swipe right - if nr 1 passed
[11-42-51-638247]  48: swipe right - if nr 2 passed
[11-42-51-638247]  49: swipe right - if nr 3 passed
[11-42-51-638247]  50: swipe right - if nr 4 passed
[11-42-51-638247]  51: swipe right - if nr 5 passed
[11-42-51-638247]  52: swipe right - if nr 6 passed
[11-42-51-638247]  53: Swipe right
[11-42-51-638247]  54: secret_gesture - if nr 1 passed
[11-42-51-638247]  55: secret_gesture - if nr 2 passed
[11-42-51-638247]  56: secret_gesture - if nr 3 passed
[11-42-51-638247]  57: secret_gesture - if nr 4 passed
[11-42-51-638247]  58: Secret_gesture - if nr 5 passed
[11-42-51-638247]  59: Secret_gesture
[11-42-51-638247]  60: peace - if nr 1 passed
[11-42-51-638247]  61: empty - if nr 1 passed
[11-42-52-302653]  62: empty - if nr 1 passed
[11-42-52-942277]  63: empty - if nr 1 passed
[11-42-53-613138]  64: empty - if nr 1 passed
[11-42-54-261871]  65: empty - if nr 1 passed
[11-42-54-894925]  66: empty - if nr 1 passed
[11-42-55-534545]  67: empty - if nr 1 passed
[11-42-56-167702]  68: empty - if nr 1 passed
[11-42-57-440517]  69: peace - if nr 1 passed
[11-42-58-89251]  70: peace - if nr 1 passed
[11-42-58-728784]  71: peace - if nr 1 passed
[11-43-0-650375]  72: fist - if nr 1 passed
[11-43-0-650375]  73: fist - if nr 2 passed
[11-43-0-650375]  74: fist - if nr 3 passed
[11-43-0-650375]  75: fist - if nr 4 passed
[11-43-0-650375]  76: fist - if nr 5 passed
[11-43-0-650375]  77: fist - if nr 6 passed
[11-43-1-299184]  78: fist - if nr 1 passed
[11-43-1-299184]  79: fist - if nr 2 passed
[11-43-1-299184]  80: fist - if nr 3 passed
[11-43-1-299184]  81: fist - if nr 4 passed
[11-43-1-299184]  82: fist - if nr 5 passed
[11-43-1-299184]  83: fist - if nr 6 passed
[11-43-1-969277]  84: empty - if nr 1 passed
[11-43-2-618178]  85: empty - if nr 1 passed
[11-43-3-273336]  86: peace - if nr 1 passed
[11-43-3-273336]  87: empty - if nr 1 passed
[11-43-3-922205]  88: peace - if nr 1 passed
[11-43-3-922205]  89: empty - if nr 1 passed
[11-43-3-922205]  90: empty - if nr 2 passed
[11-43-3-922205]  91: empty - if nr 3 passed
[11-43-3-922205]  92: empty - if nr 4 passed
[11-43-4-561971]  93: peace - if nr 1 passed
[11-43-6-668520]  94: fist - if nr 1 passed
[11-43-6-668520]  95: fist - if nr 2 passed
[11-43-6-668520]  96: peace - if nr 1 passed
[11-43-7-317310]  97: fist - if nr 1 passed
[11-43-7-317310]  98: fist - if nr 2 passed
[11-43-7-317310]  99: fist - if nr 3 passed
[11-43-7-317310]  100: fist - if nr 4 passed
[11-43-7-956962]  101: empty - if nr 1 passed
[11-43-7-956962]  102: empty - if nr 2 passed
[11-43-7-956962]  103: empty - if nr 3 passed
[11-43-7-956962]  104: empty - if nr 4 passed
[11-43-8-605717]  105: empty - if nr 1 passed
[11-43-8-605717]  106: empty - if nr 2 passed
[11-43-8-605717]  107: empty - if nr 3 passed
[11-43-8-605717]  108: empty - if nr 4 passed
[11-43-9-254473]  109: fist - if nr 1 passed
[11-43-9-254473]  110: fist - if nr 2 passed
[11-43-9-254473]  111: fist - if nr 3 passed
[11-43-9-254473]  112: fist - if nr 4 passed
[11-43-9-254473]  113: empty - if nr 1 passed
[11-43-9-254473]  114: empty - if nr 2 passed
[11-43-9-254473]  115: empty - if nr 3 passed
[11-43-9-254473]  116: empty - if nr 4 passed
[11-43-9-894280]  117: fist - if nr 1 passed
[11-43-9-894280]  118: fist - if nr 2 passed
[11-43-9-894280]  119: fist - if nr 3 passed
[11-43-9-894280]  120: fist - if nr 4 passed
[11-43-9-894280]  121: empty - if nr 1 passed
[11-43-9-894280]  122: empty - if nr 2 passed
[11-43-9-894280]  123: empty - if nr 3 passed
[11-43-9-894280]  124: empty - if nr 4 passed
[11-43-10-542949]  125: fist - if nr 1 passed
[11-43-10-542949]  126: fist - if nr 2 passed
[11-43-10-542949]  127: fist - if nr 3 passed
[11-43-10-542949]  128: fist - if nr 4 passed
[11-43-10-558608]  129: empty - if nr 1 passed
[11-43-10-558608]  130: empty - if nr 2 passed
[11-43-10-558608]  131: empty - if nr 3 passed
[11-43-10-558608]  132: empty - if nr 4 passed
[11-43-11-214024]  133: fist - if nr 1 passed
[11-43-11-214024]  134: fist - if nr 2 passed
[11-43-11-214024]  135: fist - if nr 3 passed
[11-43-11-214024]  136: fist - if nr 4 passed
[11-43-11-214024]  137: empty - if nr 1 passed
[11-43-11-214024]  138: empty - if nr 2 passed
[11-43-11-214024]  139: empty - if nr 3 passed
[11-43-11-214024]  140: empty - if nr 4 passed
[11-43-11-869396]  141: fist - if nr 1 passed
[11-43-11-869396]  142: fist - if nr 2 passed
[11-43-11-885027]  143: fist - if nr 3 passed
[11-43-11-885027]  144: fist - if nr 4 passed
[11-43-11-885027]  145: empty - if nr 1 passed
[11-43-11-885027]  146: empty - if nr 2 passed
[11-43-11-885027]  147: empty - if nr 3 passed
[11-43-11-885027]  148: empty - if nr 4 passed
[11-43-12-533823]  149: fist - if nr 1 passed
[11-43-12-533823]  150: fist - if nr 2 passed
[11-43-12-533823]  151: fist - if nr 3 passed
[11-43-12-533823]  152: fist - if nr 4 passed
[11-43-12-533823]  153: empty - if nr 1 passed
[11-43-12-533823]  154: empty - if nr 2 passed
[11-43-12-533823]  155: empty - if nr 3 passed
[11-43-12-533823]  156: empty - if nr 4 passed
[11-43-13-204865]  157: fist - if nr 1 passed
[11-43-13-204865]  158: fist - if nr 2 passed
[11-43-13-204865]  159: fist - if nr 3 passed
[11-43-13-204865]  160: fist - if nr 4 passed
[11-43-13-204865]  161: empty - if nr 1 passed
[11-43-13-204865]  162: empty - if nr 2 passed
[11-43-13-204865]  163: empty - if nr 3 passed
[11-43-13-204865]  164: empty - if nr 4 passed
[11-43-14-709646]  165: fist - if nr 1 passed
[11-43-14-709646]  166: fist - if nr 2 passed
